"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "Riparian_sp" "Habitat_ephemeral" "Habitat_lakes" "Habitat_ponds" "Habitat_rivers" "Habitat_streams" "Forewing_length_mm" "Hindwing_length_mm" "Sex_dimporh" "Territoriality" "Flight_mode_flier" "Flight_mode_percher" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Larva_BodyLength_mm" "Larva_BodyLength_min" "Larva_BodyLength_max" "Larva_Habitat_stillwaters" "Larva_Habitat_watercourses" "Larva_Habitat_moors" "Larva_EIV_Drought" "Larva_Biotope_range" "MISSING_ALL_TRAITS"
"Coenagrion hylas" "Coenagrion hylas (Trybom, 1889)" "SPECIES" "accepted" "Coenagrion hylas (Trybom, 1889)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 972881.081810169 36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 25 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Coenagrion intermedium" "Coenagrion intermedium Lohmann, 1990" "SPECIES" "accepted" "Coenagrion intermedium Lohmann, 1990" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "VU" "ENDANGERED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8657.03434427453 35.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 20 "weak" "non-territorial" 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Coenagrion johanssoni" "Coenagrion johanssoni (Wallengren, 1894)" "SPECIES" "accepted" "Coenagrion johanssoni (Wallengren, 1894)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1258372.13423455 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 17 "weak" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Coenagrion lunulatum" "Coenagrion lunulatum (Charpentier, 1840)" "SPECIES" "accepted" "Coenagrion lunulatum (Charpentier, 1840)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" "INN" "No" "RE" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 522979.51598703 31.5 NA NA 30 33 NA 360 NA NA NA 0.0520547945205479 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 0.171821305841924 NA 1 0 1 1 0 0 NA 19 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 22 19 25 1 0 1 1 "oligotop" "NO"
"Coenagrion mercuriale" "Coenagrion mercuriale (Charpentier, 1840)" "SPECIES" "accepted" "Coenagrion mercuriale (Charpentier, 1840)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "EN" "NT" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1834776.96198159 29 NA NA 27 31 NA 720 NA NA NA 0.0958904109589041 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 0 0 0 NA NA 1 0 0 0 0 1 NA 18 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 16 14 18 0 1 1 0 "stenotop" "NO"
"Coenagrion ornatum" "Coenagrion ornatum (Selys, 1850)" "SPECIES" "accepted" "Coenagrion ornatum (Selys, 1850)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "InfoSpecies" NA "No" "RE" "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 30.5 NA NA 30 31 NA 360 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.151202749140893 NA 1 0 0 0 0 1 NA 20 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 17 15 19 0 0 0 0 "stenotop" "NO"
"Coenagrion ponticum" "Coenagrion ponticum (Bartenev, 1929)" "SPECIES" "accepted" "Coenagrion ponticum (Bartenev, 1929)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA "LEAST_CONCERN" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Coenagrion puella" "Coenagrion puella (Linnaeus, 1758)" "SPECIES" "accepted" "Coenagrion puella (Linnaeus, 1758)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4913067.93576746 29 NA NA 33 25 NA 240 NA NA NA 0.126027397260274 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA 0 1 1 0 0 0.515463917525773 NA 2 0 1 0 1 0 NA 18 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 19 17 21 1 1 1 0 "eurytop" "NO"
"Coenagrion pulchellum" "Coenagrion pulchellum (Vander Linden, 1825)" "SPECIES" "accepted" "Coenagrion pulchellum (Vander Linden, 1825)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "NT" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 36 NA NA 34 38 NA 360 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 1 0 0 0.388316151202749 NA 2 0 1 0 0 0 NA 20 "weak" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 18.5 17 20 1 1 1 0 "eurytop" "NO"
"Coenagrion scitulum" "Coenagrion scitulum (Rambur, 1842)" "SPECIES" "accepted" "Coenagrion scitulum (Rambur, 1842)" "Coenagrion" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 31.5 NA NA 30 33 NA 195 NA NA NA NA 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA 1 1 0 0 0 0.573883161512027 NA 0 0 1 0 1 0 NA 17 "strong" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 16 14 18 1 1 1 0 NA "NO"
"Cordulegaster bidentata" "Cordulegaster bidentata Selys, 1843" "SPECIES" "accepted" "Cordulegaster bidentata Selys, 1843" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "Yes" "LC" "NT" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 776777.851039134 73.5 NA NA 69 78 NA 1800 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.541666666666667 NA 0 1 1 0 0 0.381443298969072 NA 2 0 0 0 0 1 NA 44 NA NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 39.5 34 45 0 1 0 NA "stenotop" "NO"
"Cordulegaster boltonii" "Cordulegaster boltonii (Donovan, 1807)" "SPECIES" "accepted" "Cordulegaster boltonii (Donovan, 1807)" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "ENDANGERED" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 2816526.37760755 77 NA NA 74 80 NA 1620 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 0 0 0.515463917525773 NA 2 0 0 0 1 1 NA 44 "weak" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 41 35 47 0 1 1 0 "stenotop" "NO"
"Cordulegaster charpentieri" "Cordulegaster charpentieri (Kolenati, 1846)" "SPECIES" "accepted" "Cordulegaster charpentieri (Kolenati, 1846)" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Cordulegaster helladica" "Cordulegaster helladica (Lohmann, 1993)" "SPECIES" "accepted" "Cordulegaster helladica (Lohmann, 1993)" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "Yes" NA "CR" "ENDANGERED" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 28397.765754905 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Cordulegaster helladica subsp. buchholzi" "Cordulegaster helladica buchholzi Lohmann, 1993" "SUBSPECIES" "accepted" "Cordulegaster helladica buchholzi Lohmann, 1993" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Cordulegaster helladica subsp. helladica" "Cordulegaster helladica helladica" "SUBSPECIES" "accepted" "Cordulegaster helladica helladica (Lohmann, 1993)" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Cordulegaster helladica subsp. kastalia" "Cordulegaster helladica kastalia (Lohmann, 1993)" "SUBSPECIES" "synonym" "Cordulegaster helladica (Lohmann, 1993)" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "CR" "CRITICALLY_ENDANGERED" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 28397.765754905 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Cordulegaster heros" "Cordulegaster heros Theischinger, 1979" "SPECIES" "accepted" "Cordulegaster heros Theischinger, 1979" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 198033.526248449 80.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 47.5 "medium" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Cordulegaster insignis" "Cordulegaster insignis Schneider, 1845" "SPECIES" "accepted" "Cordulegaster insignis Schneider, 1845" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "EN" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Cordulegaster picta" "Cordulegaster picta Selys, 1854" "SPECIES" "accepted" "Cordulegaster picta Selys, 1854" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "VU" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 76 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 1 NA 44.5 "weak" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Cordulegaster trinacriae" "Cordulegaster trinacriae Waterston, 1976" "SPECIES" "accepted" "Cordulegaster trinacriae Waterston, 1976" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 68550.9268867214 76.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 1 NA 47 "medium" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Cordulia aenea" "Cordulia aenea (Linnaeus, 1758)" "SPECIES" "accepted" "Cordulia aenea (Linnaeus, 1758)" "Cordulia" "Corduliidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "VULNERABLE" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4276231.70504073 51 NA NA 47 55 NA 900 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 0 0 0.515463917525773 NA 2 0 1 0 0 0 NA 32 "weak" "territorial" 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 24 22 26 1 0 1 1 "eurytop" "NO"
"Cordulia alpestris" "Cordulia alpestris Selys, 1840" "SPECIES" "homotypic synonym" "Somatochlora alpestris (Selys, 1840)" "Somatochlora" "Corduliidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "NT" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 953697.626009518 47.5 NA NA 45 50 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 1 1 1 NA NA 1 0 1 0 0 0 NA 32 "weak" "territorial" 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 "Yes" NA NA NA NA NA NA NA NA NA NA NA NA NA 20.5 19 22 1 1 1 1 "oligotop" "NO"
"Cordulia curtisii" "Cordulia curtisii Dale, 1834" "SPECIES" "homotypic synonym" "Oxygastra curtisii (Dale, 1834)" "Oxygastra" "Corduliidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "VU" "NT" "REGIONALLY_EXTINCT" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 527487.523090893 50.5 NA NA 47 54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 1 NA 1 1 1 0 0 NA NA 1 0 1 0 0 1 NA 30 "medium" "territorial" 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 20.5 19 22 1 0 0 0 "stenotop" "NO"
"Cordulia splendens" "Cordulia splendens Pictet, 1843" "SPECIES" "homotypic synonym" "Macromia splendens (Pictet, 1843)" "Macromia" "Macromiidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "Yes" NA "VU" "VULNERABLE" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 608896.465067012 72.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 0 NA 45.5 "strong" "territorial" 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Crocothemis erythraea" "Crocothemis erythraea (Brullé, 1832)" "SPECIES" "accepted" "Crocothemis erythraea (Brullé, 1832)" "Crocothemis" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 63040692.7283765 40.5 NA NA 36 45 NA 360 NA NA NA NA 0 1 1 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 0.903780068728522 NA 2 0 1 1 1 0 NA 29.5 "strong" "territorial" 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 "yes" NA "hindwing" "not" 0.03 0 0 0 1 0 0 0 1 0 17.5 15 20 1 0 0 0 "oligotop" "NO"
"Diplacodes lefebvrii" "Diplacodes lefebvrii (Rambur, 1842)" "SPECIES" "accepted" "Diplacodes lefebvrii (Rambur, 1842)" "Diplacodes" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 35190866.9984097 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 1 0 NA 24 "strong" "territorial" 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 "yes" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Diplax nigrifemur" "Diplax nigrifemur Selys, 1884" "SPECIES" "homotypic synonym" "Sympetrum nigrifemur (Selys, 1884)" "Sympetrum" "Libellulidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "Yes" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8732.37673949885 45.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 NA 31 NA NA 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Enallagma cyathigerum" "Enallagma cyathigerum (Charpentier, 1840)" "SPECIES" "accepted" "Enallagma cyathigerum (Charpentier, 1840)" "Enallagma" "Coenagrionidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5779798.38864336 32.5 NA NA 29 36 NA 360 NA NA NA 0.106849315068493 0 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 1 1 0 0.646048109965636 NA 2 0 1 1 1 0 NA 18 "weak" NA 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 22.5 20 25 1 1 1 0 "eurytop" "NO"
